T,V1
0.0,-0.30189074575901
0.002,-0.290870934724808
0.004,-0.290870934724808
0.006,-0.279851123690605
0.008,-0.268831312656403
0.01,-0.263321407139301
0.012,-0.2578115016222
0.014,-0.252301596105099
0.016,-0.246791690587997
0.018,-0.241281785070896
0.02,-0.224752068519592
0.022,-0.21373225748539
0.024,-0.197202540934086
0.026,-0.180672824382782
0.028,-0.169653013348579
0.03,-0.147613391280174
0.032,-0.125573769211769
0.034,-0.109044052660465
0.036,-0.0925143361091614
0.038,-0.0759846195578575
0.04,-0.0649648085236549
0.042,-0.0484350919723511
0.044,-0.0319053754210472
0.046,-0.0153756588697433
0.048,0.0066639631986618
0.05,0.0231936797499657
0.052,0.0452333018183708
0.054,0.067272923886776
0.056,0.0893125459551811
0.058,0.122371979057789
0.06,0.149921506643295
0.062,0.182980939745903
0.064,0.216040372848511
0.066,0.249099805951118
0.068,0.271139428019524
0.07,0.293179050087929
0.072,0.309708766639233
0.074,0.315218672156334
0.076,0.315218672156334
0.078,0.309708766639233
0.08,0.29868895560503
0.082,0.282159239053726
0.084,0.276649333536625
0.086,0.265629522502422
0.088,0.260119616985321
0.09,0.249099805951118
0.092,0.243589900434017
0.094,0.238079994916916
0.096,0.227060183882713
0.098,0.210530467331409
0.1,0.199510656297207
0.102,0.188490845263004
0.104,0.1719611287117
0.106,0.149921506643295
0.108,0.133391790091991
0.11,0.111352168023586
0.112,0.100332356989384
0.114,0.0782927349209785
0.116,0.067272923886776
0.118,0.0562531128525734
0.12,0.0452333018183708
0.122,0.028703585267067
0.124,0.0066639631986618
0.126,-0.00986575335264206
0.128,-0.0263954699039459
0.13,-0.0484350919723511
0.132,-0.0704747140407562
0.134,-0.0980242416262627
0.136,-0.125573769211769
0.138,-0.158633202314377
0.14,-0.186182729899883
0.142,-0.219242163002491
0.144,-0.241281785070896
0.146,-0.263321407139301
0.148,-0.285361029207706
0.15,-0.296380840241909
0.152,-0.296380840241909
0.154,-0.296380840241909
0.156,-0.290870934724808
0.158,-0.279851123690605
0.16,-0.268831312656403
0.162,-0.263321407139301
0.164,-0.252301596105099
0.166,-0.241281785070896
0.168,-0.241281785070896
0.17,-0.230261974036694
0.172,-0.219242163002491
0.174,-0.21373225748539
0.176,-0.197202540934086
0.178,-0.180672824382782
0.18,-0.158633202314377
0.182,-0.147613391280174
0.184,-0.13108367472887
0.186,-0.114553958177567
0.188,-0.0925143361091614
0.19,-0.0814945250749588
0.192,-0.0649648085236549
0.194,-0.0539449974894524
0.196,-0.0374152809381485
0.198,-0.0208855643868446
0.2,-0.00986575335264206
0.202,0.0066639631986618
0.204,0.028703585267067
0.206,0.0452333018183708
0.208,0.0562531128525734
0.21,0.0838026404380798
0.212,0.105842262506485
0.214,0.133391790091991
0.216,0.155431412160397
0.218,0.182980939745903
0.22,0.205020561814308
0.222,0.227060183882713
0.224,0.238079994916916
0.226,0.243589900434017
0.228,0.238079994916916
0.23,0.227060183882713
0.232,0.210530467331409
0.234,0.194000750780106
0.236,0.166451223194599
0.238,0.138901695609093
0.24,0.116862073540688
0.242,0.0893125459551811
0.244,0.067272923886776
0.246,0.0562531128525734
0.248,0.0452333018183708
0.25,0.0342134907841682
0.252,0.028703585267067
0.254,0.028703585267067
0.256,0.0231936797499657
0.258,0.0231936797499657
0.26,0.0231936797499657
0.262,0.028703585267067
0.264,0.0397233963012695
0.266,0.0507432073354721
0.268,0.0617630183696747
0.27,0.0727828294038773
0.272,0.0893125459551811
0.274,0.111352168023586
0.276,0.12788188457489
0.278,0.138901695609093
0.28,0.160941317677498
0.282,0.1719611287117
0.284,0.182980939745903
0.286,0.188490845263004
0.288,0.188490845263004
0.29,0.188490845263004
0.292,0.182980939745903
0.294,0.1719611287117
0.296,0.160941317677498
0.298,0.144411601126194
0.3,0.133391790091991
0.302,0.122371979057789
0.304,0.111352168023586
0.306,0.0948224514722824
0.308,0.0782927349209785
0.31,0.067272923886776
0.312,0.0507432073354721
0.314,0.0397233963012695
0.316,0.0231936797499657
0.318,0.0121738687157631
0.32,-0.00986575335264206
0.322,-0.0319053754210472
0.324,-0.0539449974894524
0.326,-0.0759846195578575
0.328,-0.103534147143364
0.33,-0.136593580245972
0.332,-0.169653013348579
0.334,-0.197202540934086
0.336,-0.230261974036694
0.338,-0.246791690587997
0.34,-0.268831312656403
0.342,-0.279851123690605
0.344,-0.279851123690605
0.346,-0.285361029207706
0.348,-0.279851123690605
0.35,-0.274341218173504
0.352,-0.263321407139301
0.354,-0.2578115016222
0.356,-0.252301596105099
0.358,-0.246791690587997
0.36,-0.246791690587997
0.362,-0.235771879553795
0.364,-0.230261974036694
0.366,-0.224752068519592
0.368,-0.21373225748539
0.37,-0.197202540934086
0.372,-0.186182729899883
0.374,-0.169653013348579
0.376,-0.153123296797276
0.378,-0.13108367472887
0.38,-0.120063863694668
0.382,-0.103534147143364
0.384,-0.0870044305920601
0.386,-0.0759846195578575
0.388,-0.0594549030065536
0.39,-0.0429251864552498
0.392,-0.0319053754210472
0.394,-0.0208855643868446
0.396,0.00115405768156052
0.398,0.0176837742328644
0.4,0.0397233963012695
0.402,0.0617630183696747
0.404,0.0893125459551811
0.406,0.116862073540688
0.408,0.149921506643295
0.41,0.177471034228802
0.412,0.210530467331409
0.414,0.238079994916916
0.416,0.260119616985321
0.418,0.282159239053726
0.42,0.293179050087929
0.422,0.293179050087929
0.424,0.29868895560503
0.426,0.293179050087929
0.428,0.287669144570827
0.43,0.276649333536625
0.432,0.271139428019524
0.434,0.265629522502422
0.436,0.260119616985321
0.438,0.25460971146822
0.44,0.25460971146822
0.442,0.243589900434017
0.444,0.232570089399815
0.446,0.221550278365612
0.448,0.210530467331409
0.45,0.194000750780106
0.452,0.177471034228802
0.454,0.160941317677498
0.456,0.144411601126194
0.458,0.12788188457489
0.46,0.105842262506485
0.462,0.0893125459551811
0.464,0.0782927349209785
0.466,0.0617630183696747
0.468,0.0452333018183708
0.47,0.0342134907841682
0.472,0.0176837742328644
0.474,0.00115405768156052
0.476,-0.0208855643868446
0.478,-0.0374152809381485
0.48,-0.0594549030065536
0.482,-0.0870044305920601
0.484,-0.114553958177567
0.486,-0.142103485763073
